timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591278075266,311,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1365,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,307,0,228
1591278075616,172,Create question,200,,setUp Thread Group 1-1,text,true,,836,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,172,0,0
1591278075789,112,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,112,0,0
1591278075902,118,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,118,0,0
1591278076022,116,Create question,200,,setUp Thread Group 1-1,text,true,,833,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,115,0,0
1591278076139,103,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,103,0,0
1591278076244,102,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,102,0,0
1591278076347,94,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,94,0,0
1591278076442,101,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,101,0,0
1591278076544,90,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,90,0,0
1591278076635,87,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,87,0,0
1591278076723,114,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,114,0,0
1591278076838,115,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,115,0,0
1591278076954,93,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,93,0,0
1591278077048,113,Create question,200,,setUp Thread Group 1-1,text,true,,834,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,113,0,0
1591278077162,115,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,115,0,0
1591278077278,169,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,169,0,61
1591278077448,112,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,112,0,0
1591278077561,94,Create question,200,,setUp Thread Group 1-1,text,true,,837,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,93,0,0
1591278077656,111,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,111,0,0
1591278077768,105,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,105,0,0
1591278077874,297,Get list of questions,200,,setUp Thread Group 1-1,text,true,,3535,799,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions,296,0,0
1591278078188,260,Create quiz,200,,setUp Thread Group 1-1,text,true,,1622,1586,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/executions/11/quizzes,260,0,0
1591278078472,343,Login as student,200,,Thread Group 1-1,text,true,,1458,155,115,115,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/student,343,0,133
